,Id,Sentiment,Pasangan Calon,Text Tweet,clean_teks
236,237,positive,Agus-Sylvi,"Saat #PilkadaDKI Putaran Pertama, kita melihat bgm #AHY menunjukkan kelasnya sbg pemimpin yg berbesar hati",pilkadadki putar bgm ahy kelas pimpin besar hati
237,238,positive,Agus-Sylvi,Setelah sebelumnya tidak pernah peduli #AHY,peduli ahy
238,239,positive,Agus-Sylvi,Sebagian kecil pendukung #AHY ada yg dukung Ahok. Basis massa mayoritas kemungkinan lebih pilih Anies. Kunci kemenangan tipis bagi Anies.,dukung ahy dukung ahok basis massa mayoritas pilih anies kunci menang tipis anies
239,240,positive,Agus-Sylvi,Bagaimana pun suara Pendukung #AHY akan menentukan kemenangan salah satu Paslon.,suara dukung ahy tentu menang salah paslon
240,241,positive,Agus-Sylvi,Semoga pemilih #AHY di putaran 1 di Kebon Kacang dan Kp. Bali beralih ke Anies-Sandi. #JakartaCoblos3,moga pilih ahy putar kebon kacang kp bal alih aniessandi jakartacoblos
241,242,positive,Agus-Sylvi,Yuk #AHY Fans dukung dan menangkan #GubernurMuslim,yuk ahy fans dukung menang gubernurmuslim
242,243,positive,Agus-Sylvi,"Bismillah, semoga esok Hari Jakarta memiliki pemimpin yang sesuai tuntunan AlQuran, diridhai Alloh swt",bismillah moga esok jakarta milik pimpin sesuai tuntun alquran diridhai alloh subhanahu wata ala
243,244,positive,Agus-Sylvi,"bu Sylvi adalah contoh keberanian betawi utk dalam bersikap, ngga ngambang atau banci. Contoh perempuan betawi tulen !",bu sylvi contoh berani betawi sikap ambang banci contoh perempuan betawi tulen
244,245,positive,Agus-Sylvi,"saya putaran pertama dukung ibu dan mas agus,, yah lebih baik kalah dengan terhormat daripada menang karena curang",putar dukung mas agus yah kalah hormat menang curang
245,246,positive,Agus-Sylvi,"Begitu tulus, begitu menyenangkan... Insyaallah ada jalan bu @sylviana_murni",tulus senang insyaallah jalan bu sylviana murni
246,247,positive,Agus-Sylvi,"#AHY Pemimpin, harapan, masa depan Bangsa. @SBYudhoyono @AgusYudhoyono @Edhie_Baskoro @hincapandjaitan @isari68",ahy pimpin harap bangsa sbyudhoyono agusyudhoyono edhie baskoro hincapandjaitan isari
247,248,positive,Agus-Sylvi,#ahy terbaik,ahy baik
248,249,positive,Agus-Sylvi,"Postingan 28 Januari 2017, meneduhkan. Tetep #AHY",postingan januari teduh ahy
249,250,positive,Agus-Sylvi,"Salam ""Wallahulmuwafiq IlaAqwamithoriq @sandiuno mencerminkan beliau NU sejak itu saya jatuh hati meski waktu itu saya #AHY @AgusYudhoyono",salam wallahulmuwafiq ilaaqwamithoriq sandiuno cermin beliau nu jatuh hati ahy agusyudhoyono
250,251,positive,Agus-Sylvi,Saya selalu suka dengan orang yang berjiwa besar #AHY,suka orang jiwa ahy
251,252,positive,Agus-Sylvi,@AhyCenter AHY R1 2019.. boleh kalah di Pilgub #AHY @Agus_Yudhoyono,ahycenter ahy r kalah pilih gubernur ahy agus yudhoyono
252,253,positive,Agus-Sylvi,"WalauPun kau kalah,Kami tetap bangga sekali padamu #AHY,JalanMu masih panjang,Kesuksesan yang lebih baik menantimu Disaat yang tepat.",kau kalahkami bangga pada ahyjalanmu panjangkesuksesan nanti saat
253,254,positive,Agus-Sylvi,#ahy aku pribadi kagum atas pribadi mu yes #bangga atas sikapmu,ahy pribadi kagum pribadi mu ya bangga sikap
254,255,positive,Agus-Sylvi,"Prananda Sebut #AHY Demokrat Sejati, Saya Kagum dan Salut  https://goo.gl/fb/8fH7wi  #nasional",prananda ahy demokrat sejati kagum salut nasional
255,256,positive,Agus-Sylvi,Waktu itu .... ah sudahlah <Frowning Face> @didienAZHAR: #AHY No. 1 <THUMBS UP> <THUMBS UP> <THUMBS UP>,ah frowning muka didienazhar ahy nomor thumbs up thumbs up thumbs up
256,257,positive,Agus-Sylvi,Aku dari dulu Agus Harimurti Yudhoyono Lovers #AHYLovers Dari dulu Annisa Larasati Pohan Lovers  #ALPLovers Bukan mendadak #AHY,agus harimurti yudhoyono lovers ahylovers annisa larasati pohan lovers alplovers dadak ahy
257,258,positive,Agus-Sylvi,Terkadang sikap dewasa justru diajarkan oleh yang paling muda <THUMBS UP> <SMILING FACE WITH HEART-EYES> #A1 #AHY  #Awesome,terkadang sikap dewasa ajar muda thumbs up smiling muka with hearteyes a ahy awesome
258,259,positive,Agus-Sylvi,Bangga melihat pernyataan #AHY ini. Ksatria.,bangga nyata ahy ksatria
259,260,positive,Agus-Sylvi,"Hayoo siapa aja yang sekarang sibuk hapus2in twit mereka sebelumnya, yang jelek2in #AHY?  <FACE WITH STUCK-OUT TOUNGES> <FACE WITH TEARS OF JOY> ",hayoo sibuk hapusin tweet jelekin ahy muka with stuckout tounges muka with tears of joy
260,261,positive,Agus-Sylvi,#AHY juga bagus programnya mengenai Persija,ahy bagus program persija
261,262,positive,Agus-Sylvi,Pingin lihat mas #AHY debat <FACE WITH STUCK-OUT TOUNGES> ,lihat mas ahy debat muka with stuckout tounges
262,263,positive,Agus-Sylvi,Wah.diam2 mereka jadi *tersepona dengan pesonanya  #AHY dan akhirnya.. #GagalFokus deh! <FACE WITH STUCK-OUT TOUNGES> #AyoAgusYudhoyono https://Twitter.com/ZaraZ,wahdiam tersepona pesona ahy gagalfokus deh muka with stuckout tounges ayoagusyudhoyono
263,264,positive,Agus-Sylvi,#AHY dukung #HariSantriNasional ,ahy dukung harisantrinasional
264,265,positive,Agus-Sylvi,"Dengan kecerdasan, nasionalisme dan jiwa pancasilais yang dimiliki, #AHY bisa dikatakan memiliki Jiwa Santri, walaupun belum pernah mondok",cerdas nasionalisme jiwa pancasilais milik ahy milik jiwa santri mondok
265,266,positive,Agus-Sylvi,Marasa beruntung sekali <SIGN OF THE HORNS> #ahy,marasa untung sign of the horns ahy
266,267,positive,Agus-Sylvi,Walaupun aku pendukung Anies Sandi <OK HAND> Tapi bangga dengan jiwa besar AHY Silvy Masih ada 2019 Prabowo AHY <FOLDED HANDS> <FOLDED HANDS>,dukung anies sandi ok hand bangga jiwa ahy silvy prabowo ahy folded hands folded hands
267,268,positive,Agus-Sylvi,"AHY Sylvi selalu menang dalam hati kami pendukungnya, dengan adanya AHYSylvi membuat panik dan ketar ketir luar biasa di kubu sana  <FOLDED HANDS> <FOLDED HANDS>",ahy sylvi menang hati dukung ahysylvi panik ketar tir kubu folded hands folded hands
268,269,positive,Agus-Sylvi,Kemenangan Anis Sandi  <OK HAND> Adalah Kemenangan AHY Silvy dan Kaum Pribumi <HUGGING FACE> <HUGGING FACE>,menang anis sandi ok hand menang ahy silvy kaum pribumi hugging muka hugging muka
269,270,positive,Agus-Sylvi,Masih banyak yang bisa diperbuat AHY Silvy untuk kemaslahatan bangsa ini... ,ahy silvy maslahat bangsa
270,271,positive,Agus-Sylvi,benar kata mas #ahy @AgusYudhoyono #AniesTidakKonsisten #boongYa #DebatFinalPilkadaJKT #menolaklupa,mas ahy agusyudhoyono aniestidakkonsisten boongya debatfinalpilkadajkt menolaklupa
271,272,positive,Agus-Sylvi,"[HEBOH] Pentolan band Coldplay asal Inggris, Chris Martin, memberikan dukungan pada pasangan Agus-Sylvi #AHY di Pilkada Jakarta 2017.",heboh pentol band coldplay inggris chris martin dukung pasang agussylvi ahy pilkada jakarta
272,273,positive,Agus-Sylvi,#SekjenPartaiDemokrat@HincaPandjaitan: DiskusiPolitik&Bola Kami akan turunkan yang Terbaik untuk NKRI Kedepan #AHY@WeAreTheNextLeader#,sekjenpartaidemokrathincapandjaitan diskusipolitikbola turun baik nkri depan ahywearethenextleader
273,274,positive,Agus-Sylvi,Karena politik adalah bagian dari kehidupan... meski jangan terlalu banyak <Smiling Face With Smiling Eyes>,politik hidup smiling muka with smiling eyes
274,275,positive,Agus-Sylvi,#Djarot Apresiasi #AHY Relakan Relawannya Dukung #Ahok <Clapping Hands> <Clapping Hands> http://merahputih.com #merahputih #Indonesia #Jakarta #PilgubDKI #2017,djarot apresiasi ahy rela rawan dukung ahok clapping hands clapping hands merahputih indonesia jakarta pilgubdki
275,276,positive,Agus-Sylvi,Kemenangan yang tertunda. Belajar dari segala kekalahan.Pernyataan yang bijaksana #AHY,menang tunda ajar kekalahanpernyataan bijaksana ahy
276,277,positive,Agus-Sylvi,Politik santun dan bermartabat. <FOLDED HANDS> #AHY,politik santun martabat folded hands ahy
277,278,positive,Agus-Sylvi,"Heboh, AHY muncul dengan penampilan baru @AgusYudhoyono http://beritahati.com #BERITAHATI #heboh #ahy #baru #tampilan #pilkada #nasional",heboh ahy muncul tampil agusyudhoyono beritahati heboh ahy tampil pilkada nasional
278,279,positive,Agus-Sylvi,Gunawan dan Freely anggota DPRD Talaud ini mau pasang spanduk AHY di perbtasan Indonesia-Filipina. Lanjutkan,gunawan freely anggota dprd talaud pasang spanduk ahy perbtasan indonesiafilipina lanjut
279,280,positive,Agus-Sylvi,[ A H Y ] untuk semua ! . . . . . . . . #AHY #AHY4all #AHYforAll #AHYhargaMati #TNI… https://www.instagram.com,a h y ahy ahyall ahyforall ahyhargamati tni
280,281,positive,Agus-Sylvi,"yang buat polling mbak, kami terbuka pemilih #AHY secara pribadi untuk bergabung, karena mbak bukan pengambil keputusan di timses <Smiling Face With Smiling Eyes>",polling mbak buka pilih ahy pribadi gabung mbak ambil putus timses smiling muka with smiling eyes
281,282,positive,Agus-Sylvi,Sambutan hangat buat pendukung #AHY yang mau bergabung dengan kami <Smiling Face With Smiling Eyes> <FOLDED HANDS>,sambut hangat dukung ahy gabung smiling muka with smiling eyes folded hands
282,283,positive,Agus-Sylvi,12. #AHY dan SBY di puji dan dibela tanpa mereka merasa malu dan merasa bersalah demi mengharapkan dukungan politik dan massa demokrat! ,ahy sby puji bela malu salah harap dukung politik massa demokrat
283,284,positive,Agus-Sylvi,"diberi nikmat bersyukur, diberi ujian bersabar.. selamat malam semuanya.. <Face Blowing a Kiss> <Face Blowing a Kiss>",nikmat syukur uji sabar selamat malam muka blowing a kiss muka blowing a kiss
284,285,positive,Agus-Sylvi,Bangga menjadi bagian dari perjuangannya <Face Blowing a Kiss> <Face Blowing a Kiss> #AHY,bangga juang muka blowing a kiss muka blowing a kiss ahy
285,286,positive,Agus-Sylvi,Jiwa besarnya teladan bagi kita semua... <Oncoming Fist>  <Oncoming Fist>  <Face Blowing a Kiss>,jiwa besar teladan oncoming fist oncoming fist muka blowing a kiss
286,287,positive,Agus-Sylvi,Saya juga dan tidak pernah nyesal dukung beliau <Face Blowing a Kiss> <Face Blowing a Kiss> malah bngga sekali kehadirannya di Republik ini #AHY,nyesal dukung beliau muka blowing a kiss muka blowing a kiss bngga hadir republik ahy
287,288,positive,Agus-Sylvi,Pemimpin muda masa depan #AHY  <Raising Hands> <Raising Hands> <Raising Hands>,pimpin muda ahy raising hands raising hands raising hands
288,289,positive,Agus-Sylvi,Siapapun pemenang nya AHY tetap no 1 dan selalu dihati <Smiling Face With Open Mouth & Closed Eyes> <Smiling Face With Open Mouth & Smiling Eyes> <Smiling Face With Smiling Eyes> <Face Savouring Delicious Food> <Kissing Face With Closed Eyes> <Face Blowing a Kiss> <SMILING FACE WITH HEART-EYES>  @agusyudhoyono #AHY #ahy… https://www.instagram.com,menang nya ahy nomor hati smiling muka with open mouth closed eyes smiling muka with open mouth smiling eyes smiling muka with smiling eyes muka savouring delicious food kissing muka with closed eyes muka blowing a kiss smiling muka with hearteyes agusyudhoyono ahy ahy
289,290,positive,Agus-Sylvi,Saya yakin rencana dan keputusan Allah selalu benar dan selalu lebih baik dari keputusan manusia. <Smiling Face With Smiling Eyes> <Smiling Face With Smiling Eyes> #AHY,rencana putus allah putus manusia smiling muka with smiling eyes smiling muka with smiling eyes ahy
290,291,positive,Agus-Sylvi,Mas #Agus Tetap Semangat . Pendukung #Ahy Jangan Tidur . #Basuki Maju Terus InsyaAllah Menang,mas agus semangat dukung ahy tidur basuki maju insyaallah menang
291,292,positive,Agus-Sylvi,keikhlasan berkorban #AHY tak bakal sia2 non,ikhlas korban ahy sia non
292,293,positive,Agus-Sylvi,@AgusYudhoyono tetep semangat mendharma baktikan jiwa dan raga untuk negeri ini  <Smiling Face With Smiling Eyes> <Smiling Face With Smiling Eyes>  #ahy #wpap #art,agusyudhoyono semangat mendharma bakti jiwa raga negeri smiling muka with smiling eyes smiling muka with smiling eyes ahy wpap art
293,294,positive,Agus-Sylvi,"AHY, Mundur Selangkah Untuk Melompat Tinggi   https://goo.gl/2LMaBG  #News #AHY",ahy mundur selang lompat berita ahy
294,295,positive,Agus-Sylvi,Semua tetap berharap pada #AHY. Semoga semakin bersinar. Aamiin! <Smiling Face With Smiling Eyes> <Smiling Face With Smiling Eyes>,harap ahy moga sinar aamiin smiling muka with smiling eyes smiling muka with smiling eyes
295,296,positive,Agus-Sylvi,"Jika sudah waktu nya, akan datang untuk nya ... #AHY",nya nya ahy
296,297,positive,Agus-Sylvi,Membaca Strategi Politik SBY dalam Pencalonan Agus Yudhoyono #AHY,baca strategi politik sby calon agus yudhoyono ahy
297,298,positive,Agus-Sylvi,Nunggu skenario selanjutnya..... #AHY,nunggu skenario ahy
298,299,positive,Agus-Sylvi,Jangan kira skenario AHY cuma untuk menang Pilgub saja? AHY sudah pikirkan matang skenario jika kalah. Kalah pun dia menang sejatinya. <Smiling Face With Smiling Eyes> <Smiling Face With Smiling Eyes>,skenario ahy menang pilih gubernur ahy pikir matang skenario kalah kalah menang sejati smiling muka with smiling eyes smiling muka with smiling eyes
299,300,positive,Agus-Sylvi,"Bukan kah #AHY sdh menunjukkan Jiwa besar dalam hasil Pilkada yang sulit, sungguh tidak sulit untuk deklarasi ini",kah ahy jiwa hasil pilkada sulit sungguh sulit deklarasi
300,301,negative,Ahok-Djarot,"Catat, Warga DKI Bakal Segera Merasa Kehilangan Ahok #PilkadaDKI2017",catat warga dki hilang ahok pilkadadki
301,302,negative,Ahok-Djarot,"Kalau saja #AhokMenang dalam #PilkadaDKI2017 maka jelas warga DKI cukup cerdas, tak mudah diprovokasi isue SARA, tapi kok..#GombalinAhok",ahokmenang pilkadadki warga dki cerdas mudah provokasi isue sara kokgombalinahok
302,303,negative,Ahok-Djarot,"Hari ini kalah di #pilkadadki2017 , besok kalah dipengadilan. #penjarakanahok",kalah pilkadadki besok kalah adil penjarakanahok
303,304,negative,Ahok-Djarot,"Sedih, kehilangan sosok gubenur yang jujur dan pekerja keras untuk melayani warganya.@basuki_btp #pilkadadki2017 #AhokKalah",sedih hilang sosok gubenur jujur kerja keras layan warganyabasuki btp pilkadadki ahokkalah
304,305,negative,Ahok-Djarot,Ahok Kalah Telak Diseluruh TPS yang Berada di Wilayah FPI https://goo.gl/fb/KzryMF  #seruji #fokus #pilkadadki2017,ahok kalah telak seluruh tps wilayah fpi ruji fokus pilkadadki
305,306,negative,Ahok-Djarot,Ahok Menang Tipis di TPS Tempat Habib Rizieq Mencoblos https://goo.gl/fb/4FdYTd  #seruji #fokus #pilkadadki2017,ahok menang tipis tps habib rizieq coblos ruji fokus pilkadadki
306,307,negative,Ahok-Djarot,"Langsung deh, cuitan curang lah, black campaign lah, nongol.. Katanya legowo, itu demokrasi bukan namanya hahaa #pilkadadki2017",langsung deh cuit curang black campaign nongol legowo demokrasi nama hahaa pilkadadki
307,308,negative,Ahok-Djarot,Hasil TPS RT 011/010 RW 002 di kelurahan Pela Mampang saya sedih lihatnya. #pilkadadki2017 #ahokdjarot,hasil tps rt rw lurah pela mampang sedih lihat pilkadadki ahokdjarot
308,309,negative,Ahok-Djarot,"#pilkadadki2017 masa tenang aja masih ada yang curang, apalagi pemilihan yaa hati2 aja, awasin tuh yang kemarin ketahuan bagi2 sembako",pilkadadki tenang curang pilih yaa hati awasin tuh kemarin tahu sembako
309,310,negative,Ahok-Djarot,Tidak akan diberi petunjuk orang-orang zalim. Tetap HARAM pemimpin kafir. #PilkadaDKI #pilkadadki2017 #IslamRahmatanLilAlamin,tunjuk orangorang zalim haram pimpin kafir pilkadadki pilkadadki islamrahmatanlilalamin
310,311,negative,Ahok-Djarot,Jangan harap Jakarta bebas korupsi kalau suaramu saja masih bisa dibeli #muslimvotemuslim #OTTSembakoAhok #pilihanmumasadepanmu #pilkadadki2,harap jakarta bebas korupsi suara beli muslimvotemuslim ottsembakoahok pilihanmumasadepanmu pilkadadki
311,312,negative,Ahok-Djarot,"Syukur, lembar C6 sudah di tangan. Tidak sabar mau colok matanya Ahok. #PilkadaDKI2017",syukur lembar c tangan sabar colok mata ahok pilkadadki
312,313,negative,Ahok-Djarot,Penista Agama #ahok,nista agama ahok
313,314,negative,Ahok-Djarot,"#Sembako itu kan rejeki #ahoker , kasihan mereka yang sudah dukung #ahokdjarot tapi tidak dapat #sembako . #pilkadadki2017.",sembako rejeki ahoker kasihan dukung ahokdjarot sembako pilkadadki
314,315,negative,Ahok-Djarot,Ahokers tukang plintir...lihat nehh!! @basuki_btp @AhokDjarot @WagubDKI @VivaRevolusi @tempodotco @republikaonline #PilkadaDki2017,ahokers tukang plintirlihat nehh basuki btp ahokdjarot wagubdki vivarevolusi tempodotco republikaonline pilkadadki
315,316,negative,Ahok-Djarot,"#SelamatHariSembako kepada warga #Jakarta yang merayakannya. Terima sembakonya, jangan pilih pemberinya. #pilkadadki2017 @GunRomli @sahaL_AS",selamatharisembako warga jakarta raya terima sembakonya pilih beri pilkadadki gunromli sahal as
316,317,negative,Ahok-Djarot,Tidak rumit membedakan antara yang hitam dan putih dalam #PilkadaDKI2017 Sangat jelas siapa yang paling doyan gaduh,rumit beda hitam putih pilkadadki doyan gaduh
317,318,negative,Ahok-Djarot,Harus dan pasti Gubernur baru... Yang lama udah bosan #pilkadadki2017,gubernur bosan pilkadadki
318,319,negative,Ahok-Djarot,"Kalau saya warga DKI, maka saya akan ikut pesan Rasulullah SAW untuk menyerahkan segala sesuatu pada ahlinya. #pilkadadki2017 cc @PartaiSocm",warga dki pesan rasulullah saw serah ahli pilkadadki cc partaisocm
319,320,negative,Ahok-Djarot,"Kalau Ahok lawannya Djarot, aku mungkin pilih Djarot karena memang Ahok perlu belajar lebih baik mengenai humas dan diplomasi #PilkadaDKI201",ahok lawan djarot pilih djarot ahok ajar humas diplomasi pilkadadki
320,321,negative,Ahok-Djarot,"#Apakah ini hoaks Ingat, Muktamar NU Sudah Wajibkan Nahdliyin Pilih Pemimpin Muslim #PilkadaDKI2017",hoaks muktamar nu wajib nahdliyin pilih pimpin muslim pilkadadki
321,322,negative,Ahok-Djarot,Jangan biarkan ini terjadi!! #Gue2 #BaDjaUntukJakarta #pilkadadki2017,biar badjauntukjakarta pilkadadki
322,323,negative,Ahok-Djarot,#Djarot Beberkan Kronologi Pengusiran Dirinya Setelah Sholat Jumat http://bit.ly/2pgp5M1 #AhokDjarot #PilkadaDki2017,djarot kan kronologi usir sholat jumat ahokdjarot pilkadadki
323,324,negative,Ahok-Djarot,Hanya iblis yang ingin menghalang-halangi manusia yang mau beribadah di masjid. Tetap semangat ya pak Djarot...!! #garagaraPILKADA #pilkadaD,iblis menghalanghalangi manusia ibadah masjid semangat ya djarot garagarapilkada pilkadad
324,325,negative,Ahok-Djarot,Dilarang Pilih Cagub Nonmuslim? Habib: Pilih Djarot! #PilkadaDKI2017,larang pilih cagub nonmuslim habib pilih djarot pilkadadki
325,326,negative,Ahok-Djarot,Aneh dan makin aneh.. Sesama umat sendiri di usir #PILKADA #pilkadadki2017,aneh aneh umat usir pilkada pilkadadki
326,327,negative,Ahok-Djarot,bagi2 sembako gratis tim @basuki_btp itu melanggar Pasal 73 Ayat 1 UU No.10 Thn 2016 #pilkadadki2017,sembako gratis tim basuki btp langgar pasal ayat uu nomor pilkadadki
327,328,negative,Ahok-Djarot,MUI Sesalkan Pemberian Gelar Sunan untuk Ahok http://dlvr.it/NtX57V  #Nasional #MUI #PilkadaDKI2017,mui sesal beri gelar sunan ahok nasional mui pilkadadki
328,329,negative,Ahok-Djarot,"kemungkinan yang saya lihat, #Ahok kalah di #pilkadadki2017 lebih besar daripada menang.",lihat ahok kalah pilkadadki menang
329,330,negative,Ahok-Djarot,Pengamat: Polisi Terkesan Berpihak Pada Ahok https://goo.gl/fb/lcnUH2 #seruji #fokus #pilkadadki2017,amat polisi kes pihak ahok ruji fokus pilkadadki
330,331,negative,Ahok-Djarot,Kubu BaDja Sindir Anies Soal Spanduk Jakarta Bersyariah - #PilkadaDki2017 #Ahok-Djarot #AniesBaswedan #Ahok #Jakarta,kubu badja sindir anies spanduk jakarta bersyariah pilkadadki ahokdjarot aniesbaswedan ahok jakarta
331,332,negative,Ahok-Djarot,http://youtu.be/NkMX90Am3aY  Virall.bocah ini injak2 baju kotak2 karena merasa kecewa #WINGSTourInJakarta #pilkadadki2017 #FreeAhok,virallbocah injak baju kotak kecewa wingstourinjakarta pilkadadki freeahok
332,333,negative,Ahok-Djarot,"Turun pangkat saja @ahok, Jakarta tidak butuh penista agama seperti kamu iya kamu",turun pangkat ahok jakarta butuh nista agama iya
333,334,negative,Ahok-Djarot,Mulut #ahokers semakin jorok itu pertanda suara Anies semakin kuat di #pilkadaDKI2017 #YangBikinBerantem,mulut ahokers jorok tanda suara anies kuat pilkadadki yangbikinberantem
334,335,negative,Ahok-Djarot,Jika PKB dukung #AhokPenistaAgama di #PilkadaDKI2017 putaran ke2 maka siap-siap saja ditinggalkan pemilih umat Islam di pemilu 2019.,pkb dukung ahokpenistaagama pilkadadki putar siapsiap tinggal pilih umat islam milu
335,336,negative,Ahok-Djarot,"Waduh! , Ahok-Djarot Gunakan APBD Untuk Alat Kampanye Putaran Kedua http://dlvr.it/NTY5vW",aduh ahokdjarot apbd alat kampanye putar
336,337,negative,Ahok-Djarot,"Sedihnya hari ini, Indonesia hanya sebatas Jakarta, Bhinneka hanya sebatas soal Ahok semata #SaveJakarta #SaveNKRI #1000lilin #AhokDjarot",sedih indonesia batas jakarta bhinneka batas ahok savejakarta savenkri lilin ahokdjarot
337,338,negative,Ahok-Djarot,"Pak Djarot menangis, @addiems pimpin #NyanyianUntukAhok. Ada apa ya? Cek http://goo.gl/7iUqa0  #AhokDjarot #BalaiKota #VisuallyYours",djarot menang addiems pimpin nyanyianuntukahok ya cek ahokdjarot balaikota visuallyyours
338,339,negative,Ahok-Djarot,Kami sangat rasa kehilangan bapak ahok #ahok #ahokdjarot #teman #temanahokfair #temanahok https://www.instagram.com/p/BT8dsSfhP3L/,hilang ahok ahok ahokdjarot teman temanahokfair temanahok
339,340,negative,Ahok-Djarot,"Ohh jadi mereka itu tertib karena #AhokDjarot ya, terus ada gub baru mereka tidak tertib lagi",ohh tertib ahokdjarot ya gub tertib
340,341,negative,Ahok-Djarot,"Kafirrrrrr dan menista ya??!#SaveAhok #RIPJUSTICEINDONESIA #Ahok #AhokDjarot â€” iqra, iqra, iqra !!! http://www.nu.or.id",kafirrrrrr nista yasaveahok ripjusticeindonesia ahok ahokdjarot iqra iqra iqra
341,342,negative,Ahok-Djarot,Lihat raut wajah bpk Djarot bikin miris. Sabar & kuatkan @AhokDjarot @basuki_btp #IndonesiaBerkabung #AhokDjarot,lihat raut wajah djarot bikin miris sabar kuat ahokdjarot basuki btp indonesiaberkabung ahokdjarot
342,343,negative,Ahok-Djarot,"Remuk, negara nyata dalam ""pembohongan"". Sangat nyata.... masih belum terasa? Sejak dulu dan saat ini. Mulai Pakai OTAK. #Ahok #AhokDjarot",remuk negara nyata bohong nyata pakai otak ahok ahokdjarot
343,344,negative,Ahok-Djarot,Orang2 tidak tahu diri.Ikut pakai sarana umum tapi hina gubernurnya sendiri! #riphukum #RIPJusticeInIndonesia #AhokDjarot #AhokIsHope,orang diriikut pakai sarana hina gubernur riphukum ripjusticeinindonesia ahokdjarot ahokishope
344,345,negative,Ahok-Djarot,Remuk hatiku lihat Beliau  #riphukum #RIPJusticeInIndonesia #freeahok #AhokDjarot #Ahok #AhokIsHope,remuk hati lihat beliau riphukum ripjusticeinindonesia freeahok ahokdjarot ahok ahokishope
345,346,negative,Ahok-Djarot,Ya beginilah politik Indonesia jaman sekarang.. Menyedihkan!! #riphukum #RIPJusticeInIndonesia #freeahok #AhokDjarot #Ahok #AhokIsHope,ya politik indonesia jaman sedih riphukum ripjusticeinindonesia freeahok ahokdjarot ahok ahokishope
346,347,negative,Ahok-Djarot,"Mental Tempe jadi benci Hukum Indonesa, mental BadJa terus berjuang. #indonesia #indonesiasatu #pancasila #AhokDjarot #AhokIsHope #Ahok",mental tempe benci hukum indonesa mental badja juang indonesia indonesiasatu pancasila ahokdjarot ahokishope ahok
347,348,negative,Ahok-Djarot,Kematian hukum kebenaran di Indonesia #saveahok #ripjusticeindonesia #ahokdjarot #RIPJUSTICEINDONESIA #tegakkankebenaran,mati hukum benar indonesia saveahok ripjusticeindonesia ahokdjarot ripjusticeindonesia tegakkankebenaran
348,349,negative,Ahok-Djarot,Ada tangis sedih Pak Djarot pd #ParadeNyanyianUntukAhok yg dipimpin @addiems di Balai Kota. Cek http://goo.gl/7iUqa0  #AhokDjarot,tangis sedih djarot pd paradenyanyianuntukahok pimpin addiems balai kota cek ahokdjarot
349,350,negative,Ahok-Djarot,Lebih mulia buruh di Sidoarjo dari pada buruh yang demo dan bakar2 karangan bunga pemberian masyarakat untuk pak #AhokDjarot,mulia buruh sidoarjo buruh demo bakar karang bunga beri masyarakat ahokdjarot
350,351,negative,Ahok-Djarot,habiburokhman sindir #Ahok via #puisi #Sembako http://obsessionnews.com #AniesSandiGubernurKita #AhokDjarot #Aniesâ€¦ https://twitter.com,habiburokhman sindir ahok via puisi sembako aniessandigubernurkita ahokdjarot anies
351,352,negative,Ahok-Djarot,Buahahahhaha!! Emang siapa yang merayakan? Bisa gak pendukungmu merayakan tanpa di bayar? #AhokDicintaiRakyat #AhokDjarot #Ahok @detikcom,buahahahhaha emang raya dukung raya bayar ahokdicintairakyat ahokdjarot ahok detikcom
352,353,negative,Ahok-Djarot,#ahokdjarot #kpudkijakarta #sumarmo Saksi Ahok-Djarot Tolak Tandatangani Rekapitulasi Suara Pilkada http://dlvr.it/P1dBNY,ahokdjarot kpudkijakarta sumarmo saksi ahokdjarot tolak tandatangani rekapitulasi suara pilkada
353,354,negative,Ahok-Djarot,"Bagaimana dengan #AhokDjarot Pak @jokowi ? Mereka, khususnya #Ahok di abused tiap hari oleh kaum Islamist radicals",ahokdjarot jokowi ahok abused kaum islamist radicals
354,355,negative,Ahok-Djarot,DEDDY CORBUZIER SINDIR KARANGAN BUNGA AHOK. #indoharian #ahok #djarot #ahokdjarot #karanganbunga #DKI #Jakarta #DKIJakarta #memepolitik,deddy corbuzier sindir karang bunga ahok indoharian ahok djarot ahokdjarot karanganbunga dki jakarta dkijakarta politik
355,356,negative,Ahok-Djarot,"Bawa #Ganja, #Polisi Ciduk #Penyanyi Pro #Ahok http://obsessionnews.com #AhokDjarot #iwak #anies #AniesSandi #PilkadaDKI #pilkadajakarta	",bawa ganja polisi ciduk nyanyi pro ahok ahokdjarot iwak anies aniessandi pilkadadki pilkadajakarta
356,357,negative,Ahok-Djarot,"Takjub sebegitu besarnya cinta warga DKI pada #AhokDjarot , geli sama kalimat-kalimat dalam #karanganbungaahok .",takjub besar cinta warga dki ahokdjarot geli kalimatkalimat karanganbungaahok
357,358,negative,Ahok-Djarot,"Yah namanya juga manusia, suka khilaf. Yang paling disayang A...yang diajak buat komitment B, paling ujung-ujungnya nyesel. #AhokDjarot",yah nama manusia suka khilaf sayang ayang ajak komitment bb ujungujungnya sesal ahokdjarot
358,359,negative,Ahok-Djarot,Salah satu faktor kekalahan kita adalah kurang kompak dalam memukul balik isu agama #AhokDjarot,salah faktor kalah kompak pukul isu agama ahokdjarot
